upload_date,title,channel,url,video_id,language,transcript_txt,transcript_json,status
20260309,"""The Israelis are not interested in peace” w/ Jad Ghosn",Makdisi Street,https://www.youtube.com/watch?v=5rR_gNlONag,5rR_gNlONag,en,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260309 - The Israelis are not interested in peace” w Jad Ghosn [5rR_gNlONag].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260309 - The Israelis are not interested in peace” w Jad Ghosn [5rR_gNlONag].json,saved
20260331,"عامِلوا ""إسرائيل"" كما تعاملون الحزب!",Al-Mahatta | المحطة,https://www.youtube.com/watch?v=Zf2lPkoh6lY,Zf2lPkoh6lY,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260331 - عامِلوا إسرائيل كما تعاملون الحزب! [Zf2lPkoh6lY].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260331 - عامِلوا إسرائيل كما تعاملون الحزب! [Zf2lPkoh6lY].json,saved
20260412,"Lebanese govt politically present, operationally absent': PM accuses Israel of violating int'l law'",FRANCE 24 English,https://www.youtube.com/watch?v=Idn_21EG24o,Idn_21EG24o,en,"RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260412 - Lebanese govt politically present, operationally absent' PM accuses Israel of violating int'l law' [Idn_21EG24o].txt","RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260412 - Lebanese govt politically present, operationally absent' PM accuses Israel of violating int'l law' [Idn_21EG24o].json",saved
20260414,اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان,Jad Ghosn,https://www.youtube.com/watch?v=YaFeUPIgBaM,YaFeUPIgBaM,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260414 - اللقاء اللبناني الاسرائيلي في أميركا أما الحلول من عدمها ففي باكستان [YaFeUPIgBaM].json,saved
20260414,كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231,عرب 48 | Arab48,https://www.youtube.com/watch?v=6rvtcizT2BA,6rvtcizT2BA,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260414 - كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231 [6rvtcizT2BA].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260414 - كيف سيبدو لبنان بعد الحرب؟- جاد غصن #231 [6rvtcizT2BA].json,saved
20260417,لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل | جميل السيّد | هامش جاد,AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=P7c-bnAp6yU,P7c-bnAp6yU,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260417 - لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل جميل السيّد هامش جاد [P7c-bnAp6yU].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260417 - لبنان شعب بلا دولة.. وهذه حقيقة ما يجري في المفاوضات مع إسرائيل جميل السيّد هامش جاد [P7c-bnAp6yU].json,saved
20260423,"فارس سعيّد يستشهد بمحمود عباس: ""لا بديل عن السلام والحوار مع إسرائيل"" | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=Bsygct4qKys,Bsygct4qKys,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260423 - فارس سعيّد يستشهد بمحمود عباس لا بديل عن السلام والحوار مع إسرائيل هامش جاد [Bsygct4qKys].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260423 - فارس سعيّد يستشهد بمحمود عباس لا بديل عن السلام والحوار مع إسرائيل هامش جاد [Bsygct4qKys].json,saved
20260427,"جوزف عون يعترف بوثيقة التحالف مع ""إسرائيل""!",Al-Mahatta | المحطة,https://www.youtube.com/watch?v=kmyjDhhc6zM,kmyjDhhc6zM,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260427 - جوزف عون يعترف بوثيقة التحالف مع إسرائيل ! [kmyjDhhc6zM].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260427 - جوزف عون يعترف بوثيقة التحالف مع إسرائيل ! [kmyjDhhc6zM].json,saved
20260501,جورج عدوان لحزب الله: قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ | هامش جاد,AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=0a9QnzsDb1w,0a9QnzsDb1w,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260501 - جورج عدوان لحزب الله قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ هامش جاد [0a9QnzsDb1w].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260501 - جورج عدوان لحزب الله قبل أن نتفق على النظام.. هل أنتم خاضعون له؟ هامش جاد [0a9QnzsDb1w].json,saved
20260506,كلام خطير عن قدرات الحزب وغرفة القيادة- الحزب يستعد للمعركة2- تفاصيل عسكرية حاسمة: انتظروا المفاجآت!,Spot Shot,https://www.youtube.com/watch?v=HELDYwYH5oY,HELDYwYH5oY,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260506 - كلام خطير عن قدرات الحزب وغرفة القيادة- الحزب يستعد للمعركة2- تفاصيل عسكرية حاسمة انتظروا المفاجآت! [HELDYwYH5oY].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260506 - كلام خطير عن قدرات الحزب وغرفة القيادة- الحزب يستعد للمعركة2- تفاصيل عسكرية حاسمة انتظروا المفاجآت! [HELDYwYH5oY].json,saved
20260506,هل تعود الحـ..ـرب إلى لبنان نتيجة خلاف نتنياهو وزامير؟,Al-Mahatta | المحطة,https://www.youtube.com/watch?v=BjNa4kP1TAY,BjNa4kP1TAY,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260506 - هل تعود الحـ..ـرب إلى لبنان نتيجة خلاف نتنياهو وزامير؟ [BjNa4kP1TAY].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260506 - هل تعود الحـ..ـرب إلى لبنان نتيجة خلاف نتنياهو وزامير؟ [BjNa4kP1TAY].json,saved
20260508,"نواف الموسوي يتهم الرئيس عون بـ""تدمير وحدة لبنان"" ويدعو لاستفتاء شعبي على قرارته | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=ET7sant4zNs,ET7sant4zNs,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260508 - نواف الموسوي يتهم الرئيس عون بـ تدمير وحدة لبنان ويدعو لاستفتاء شعبي على قرارته هامش جاد [ET7sant4zNs].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260508 - نواف الموسوي يتهم الرئيس عون بـ تدمير وحدة لبنان ويدعو لاستفتاء شعبي على قرارته هامش جاد [ET7sant4zNs].json,saved
20260513,رئيس حزب الكتائب اللبنانية: حزب الله جر لبنان إلى مغامرتي إسناد غزة وإيران,Aljazeera Mubasher,https://www.youtube.com/watch?v=xmo1JOiOBqM,xmo1JOiOBqM,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260513 - رئيس حزب الكتائب اللبنانية حزب الله جر لبنان إلى مغامرتي إسناد غزة وإيران [xmo1JOiOBqM].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260513 - رئيس حزب الكتائب اللبنانية حزب الله جر لبنان إلى مغامرتي إسناد غزة وإيران [xmo1JOiOBqM].json,saved
20260515,"""أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد"" | جبران باسيل | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=toOmOL__Eag,toOmOL__Eag,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260515 - أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد جبران باسيل هامش جاد [toOmOL__Eag].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260515 - أنا أحميك وأحمي لبنان، بأن يكون سلاحك جزءًا من استراتيجية حماية البلاد جبران باسيل هامش جاد [toOmOL__Eag].json,saved
20260522,"""الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع"" | نهاد المشنوق | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=bYHf9qKa2l4,bYHf9qKa2l4,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260522 - الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع نهاد المشنوق هامش جاد [bYHf9qKa2l4].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260522 - الدولة اللبنانية لا يمكن أن تكون شريك لإسرائيل في أي موضوع نهاد المشنوق هامش جاد [bYHf9qKa2l4].json,saved
20260601,"Israel ‘stuck’ militarily in south Lebanon as killer drones shift the war, analyst says",Al Jazeera English,https://www.youtube.com/watch?v=BvM0A2nyEvE,BvM0A2nyEvE,en,"RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260601 - Israel ‘stuck’ militarily in south Lebanon as killer drones shift the war, analyst says [BvM0A2nyEvE].txt","RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260601 - Israel ‘stuck’ militarily in south Lebanon as killer drones shift the war, analyst says [BvM0A2nyEvE].json",saved
20260603,"Lebanon: Most View US + Israel as the Enemy, Not Iran",BreakThrough News,https://www.youtube.com/watch?v=hUFA19SndsI,hUFA19SndsI,en,"RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260603 - Lebanon Most View US + Israel as the Enemy, Not Iran [hUFA19SndsI].txt","RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260603 - Lebanon Most View US + Israel as the Enemy, Not Iran [hUFA19SndsI].json",saved
20260612,"""الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج"" | شربل نحاس | هامش جاد",AlarabyTube - العربي تيوب,https://www.youtube.com/watch?v=zg4eQjLMrZg,zg4eQjLMrZg,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260612 - الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج شربل نحاس هامش جاد [zg4eQjLMrZg].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260612 - الاعتقاد أن إسرائيل تريد التطبيع فقط حديث ساذج شربل نحاس هامش جاد [zg4eQjLMrZg].json,saved
20260613,انتصرت إيران ولن تترك لبنان | بودكاست رواية مع د. حسين باك,Tayyoun,https://www.youtube.com/watch?v=jxiRiyVIHK0,jxiRiyVIHK0,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260613 - انتصرت إيران ولن تترك لبنان بودكاست رواية مع د. حسين باك [jxiRiyVIHK0].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260613 - انتصرت إيران ولن تترك لبنان بودكاست رواية مع د. حسين باك [jxiRiyVIHK0].json,saved
20260618,إيران سيّدة المنطقة... ونحن انتصرنا | بودكاست رواية مع الحاج وفيق صفا,Tayyoun,https://www.youtube.com/watch?v=ItR4OPOSLaw,ItR4OPOSLaw,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260618 - إيران سيّدة المنطقة... ونحن انتصرنا بودكاست رواية مع الحاج وفيق صفا [ItR4OPOSLaw].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260618 - إيران سيّدة المنطقة... ونحن انتصرنا بودكاست رواية مع الحاج وفيق صفا [ItR4OPOSLaw].json,saved
20260622,"ترمب باع نتنياهو.. ""إسرائيل"" ستنسحب من لبنان",Tayyoun,https://www.youtube.com/watch?v=l_pIlBsSFWQ,l_pIlBsSFWQ,ar,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_txt/20260622 - ترمب باع نتنياهو.. إسرائيل ستنسحب من لبنان [l_pIlBsSFWQ].txt,RESEARCH/lebanon-war-battlefield-report-2026-06-24/youtube_transcripts_json/20260622 - ترمب باع نتنياهو.. إسرائيل ستنسحب من لبنان [l_pIlBsSFWQ].json,saved
